"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","screenName","retweetCount","isRetweet","longitude","latitude"
"10179","Happy Sunday everyone from YamBarn...... 
#sundayvibes 
#Lagos 
#market 
#Food 
#Africa 
#SundayMotivation… https://t.co/MZVKQOJ1Hs",FALSE,1,"yambarnlagos1",2021-01-24 06:30:17,TRUE,"1353228609817874432","1353228612854558721","1308426449343438851","yambarnlagos1",0,FALSE,NA,NA
"10180","""Conor ... wake up... it's time to fight jake paul” #UFC257 https://t.co/mp1kmWDKr6",FALSE,0,NA,2021-01-24 06:30:17,FALSE,NA,"1353228610103107584",NA,"ClarkMichle",0,FALSE,NA,NA
"10181","Happy Sunday everyone from YamBarn...... 
#sundayvibes 
#Lagos 
#market 
#Food 
#Africa 
#SundayMotivation… https://t.co/roKJgQCs5o",FALSE,0,"yambarnlagos1",2021-01-24 06:30:17,TRUE,"1353228607020281856","1353228609817874432","1308426449343438851","yambarnlagos1",0,FALSE,NA,NA
"10182","So #UFC257 #McGregorPoirier2 didn’t disappoint. It was a good fight. Being a Conor fanboy, it hurt to see him be de… https://t.co/YdgfT7xBCL",FALSE,1,NA,2021-01-24 06:30:16,TRUE,NA,"1353228608999976961",NA,"_shubhamanand_",0,FALSE,NA,NA
"10183","McGregor talks too much, he wanted the fight with khabib but he just got knocked the f*** out by Poirier<U+0001F44A><U+0001F3FB> #PoirierMcGregor2 #UFC257",FALSE,0,NA,2021-01-24 06:30:16,FALSE,NA,"1353228608450519040",NA,"M0H51N97",0,FALSE,NA,NA
"10184","Tatizo la #UFC257 pambano linaisha round ya kwanza au ya pili. https://t.co/qZEEFBrKCY",FALSE,1,NA,2021-01-24 06:30:16,FALSE,NA,"1353228607859126272",NA,"AntonMartial",0,FALSE,NA,NA
"10185","Congrats @DustinPoirier . You deserved it. @TheNotoriousMMA showed great sportsmanship at the end.#UFC257",FALSE,0,NA,2021-01-24 06:30:16,FALSE,NA,"1353228607422926848",NA,"Sundaysr4ftball",0,FALSE,NA,NA
"10186","Happy Sunday everyone from YamBarn...... 
#sundayvibes 
#Lagos 
#market 
#Food 
#Africa 
#SundayMotivation… https://t.co/KaZ2K9Ogme",FALSE,0,"yambarnlagos1",2021-01-24 06:30:16,TRUE,"1353228604054917122","1353228607020281856","1308426449343438851","yambarnlagos1",0,FALSE,NA,NA
"10187","For all you Conor fans don't worry. Dana will book him against CM Punk next and than he will get his title shot by the Fall. #UFC257",FALSE,0,NA,2021-01-24 06:30:16,FALSE,NA,"1353228606290321408",NA,"p_e_o_p_l_e_s",0,FALSE,NA,NA
"10188","Proper KO #UFC257 https://t.co/fymet4I6D3",FALSE,0,NA,2021-01-24 06:30:16,FALSE,NA,"1353228605686333441",NA,"32redstraightup",0,FALSE,NA,NA
